Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
xQcOW,14643816405,223050,167224,65652,5832736,2795156,212704288,TRUE,FALSE,English
Gaules,9310487205,518580,387315,17953,2767576,1244103,158935550,TRUE,TRUE,Portuguese
auronplay,5865123615,59205,294791,99064,8816192,5610215,118312586,TRUE,FALSE,Spanish
ibai,5792555370,95520,1512479,60642,6275848,5011824,172723748,TRUE,FALSE,Spanish
NICKMERCS,5698598235,115020,371609,49544,5778143,2175740,76468327,TRUE,FALSE,English
summit1g,5402059785,212190,104674,25458,5924343,573281,76779719,TRUE,FALSE,English
loltyler1,5071412505,164565,105499,30817,4336860,1004253,82733497,TRUE,FALSE,English
HasanAbi,4742397330,221640,226974,21396,1287345,929959,55425801,TRUE,FALSE,English
shroud,4418745210,126390,471281,34961,9271696,2032269,118537408,TRUE,FALSE,English
Rubius,4332157995,70500,344676,61449,9245913,4400088,118196869,TRUE,FALSE,Spanish
ESL_CSGO,4259771145,521040,244078,8175,4751323,806681,127762482,TRUE,FALSE,English
TimTheTatman,3773793180,107415,335403,35132,6630814,1714537,57599818,TRUE,TRUE,English
TheGrefg,3626458140,82350,2298485,44037,7455906,4462020,110910036,TRUE,FALSE,Spanish
juansguarnizo,3622674075,148500,140500,24395,4238126,3512678,70585452,TRUE,FALSE,Spanish
ludwig,3601421790,145980,150360,24670,2766363,2392969,75215076,TRUE,FALSE,English
Asmongold,3446738775,79695,187953,43249,2012001,582108,58671235,TRUE,FALSE,English
Trymacs,3436299060,128685,293900,26703,2549396,1084497,57386694,TRUE,FALSE,German
sodapoppin,3384123750,162690,107432,20801,3031882,300864,48678664,TRUE,TRUE,English
Sykkuno,3245707740,109875,104187,29540,3468296,3238419,61327044,TRUE,FALSE,English
RocketLeague,3234895080,54120,204724,59772,3177439,1821131,124793901,TRUE,FALSE,English
Riot Games (riotgames),3149895930,92880,654205,33913,5142452,631916,59086020,TRUE,FALSE,English
LCK_Korea,3139472625,59580,349104,52693,927811,355613,117888650,TRUE,FALSE,Korean
Fextralife,2994214785,172620,40516,17345,577290,88341,650068640,TRUE,FALSE,English
ROSHTEIN,2857324710,195570,36212,14610,582767,239509,33620008,FALSE,TRUE,English
LIRIK,2834493615,127530,75174,22226,2791513,170925,43011852,TRUE,FALSE,English
fps_shaka,2820658125,224835,60136,12545,551292,291543,46259228,TRUE,FALSE,Japanese
loud_coringa,2818415040,58410,308169,48252,1941854,1845210,20820662,TRUE,FALSE,Portuguese
RanbooLive,2778137850,48375,346132,57429,2967808,2923621,42161406,TRUE,FALSE,English
alanzoka,2767394880,106080,139777,26087,4894927,1857060,65162146,TRUE,FALSE,Portuguese
풍월량 (hanryang1125),2538633150,177120,44351,14332,543600,66583,41291420,TRUE,FALSE,Korean
LVNDMARK,2529876015,236940,142160,10677,562410,432964,30779851,TRUE,FALSE,English
Mizkif,2514347700,147915,137191,16998,1395014,915812,42653804,TRUE,FALSE,English
LEC,2391890745,58170,388794,41118,1397763,584829,43544290,TRUE,FALSE,English
TheRealKnossi,2367030900,54150,328945,43712,1685049,778517,32534719,TRUE,TRUE,German
Dota2RuHub,2359091985,190680,103238,12371,853742,125600,71922201,TRUE,FALSE,Russian
Tfue,2353611540,143160,103344,16440,10397635,1975972,60779248,TRUE,FALSE,English
CohhCarnage,2300092995,194370,66023,11833,1360740,119074,37991366,TRUE,FALSE,English
LCS,2276704500,55605,241509,40944,1515981,504843,43367717,TRUE,FALSE,English
Clix,2239173210,87930,95282,25465,3940947,2609889,70450911,TRUE,FALSE,English
YoDa,2239011600,140370,132814,15950,2078982,377700,49102329,TRUE,TRUE,Portuguese
dota2mc_ru,2211494715,125640,139882,17601,608939,173743,70197946,TRUE,FALSE,Russian
Symfuhny,2184971940,170565,46532,12810,3275839,1259053,37457297,TRUE,TRUE,English
MontanaBlack88,2182134975,49620,204811,43976,3903884,1243537,39568902,TRUE,TRUE,German
Castro_1021,2156600235,94080,163910,22923,2965374,594995,26419876,TRUE,FALSE,English
Swagg,2103628545,129975,96388,16184,1675142,1120930,28286978,TRUE,FALSE,English
MOONMOON,2091918750,121845,42517,17168,1077848,183550,18020423,TRUE,TRUE,English
stylishnoob4,2091215880,138960,81509,15049,568728,249709,39376401,TRUE,FALSE,Japanese
Quin69,2067057165,193140,44153,10702,602297,86323,24757174,TRUE,TRUE,English
Tubbo,2041937445,55605,311551,36722,3739293,3670755,46559001,TRUE,FALSE,English
AdinRoss,2019802515,79425,254923,25430,4023352,3912696,21867615,TRUE,FALSE,English
한동숙 (handongsuk),1997290785,179175,35382,11147,417623,49576,44034651,TRUE,FALSE,Korean
csgomc_ru,1947510255,107565,230820,18105,889544,454622,64439970,TRUE,FALSE,Russian
tommyinnit,1939779330,24210,650237,80123,5573968,5395983,48536800,TRUE,FALSE,English
CBLOL,1932598170,50790,255542,38050,1279439,414780,41180878,TRUE,FALSE,Portuguese
DrLupo,1925053440,172740,131048,11144,4450520,454820,49670652,TRUE,FALSE,English
Papaplatte,1857247455,115560,66453,16071,1466481,686399,38972971,TRUE,FALSE,German
NOBRU,1847277645,85140,293803,21696,3202677,2357426,17277279,TRUE,FALSE,Portuguese
Rainbow6,1826077980,98745,133159,18492,1994037,581688,31901959,TRUE,TRUE,English
Cellbit,1802630205,105420,128689,17099,2077174,928443,38506408,TRUE,FALSE,Portuguese
Pestily,1777351575,125070,226470,14210,896168,385144,24946489,TRUE,FALSE,English
GMHikaru,1736161215,121140,80730,14331,1244382,912468,94710815,TRUE,FALSE,English
Trainwreckstv,1716404400,129210,82731,13283,1393471,744359,27432211,TRUE,TRUE,English
Elraenn,1678010235,56850,103108,29516,2307621,1223359,44136622,TRUE,TRUE,Turkish
forsen,1648862190,112905,56262,14603,1534496,244826,25214659,TRUE,TRUE,English
NoWay4u_Sir,1605939705,157830,39459,10175,454257,85088,25537820,TRUE,FALSE,German
GamesDoneQuick,1597783035,101445,141291,15750,1795486,101206,46584389,TRUE,FALSE,English
Gotaga,1588809060,121650,111251,13060,2964089,633464,40287680,TRUE,FALSE,French
JLTomy,1585841835,114585,62079,13839,661008,296757,19899972,TRUE,FALSE,French
buddha,1534133205,189570,68818,8092,563799,316621,21881154,TRUE,TRUE,English
BLASTPremier,1509897750,35970,208744,41976,948580,537812,48730241,TRUE,FALSE,English
TSM_ImperialHal,1500285465,140850,56511,10651,855602,627955,28368255,TRUE,FALSE,English
SilverName,1496021820,113640,27680,13164,695008,121171,36702151,TRUE,FALSE,Russian
pokimane,1484340690,63975,138482,23201,7891135,2966232,67773740,TRUE,FALSE,English
Baiano,1477720425,90090,130745,16402,648911,330689,32599129,TRUE,TRUE,Portuguese
LCK,1477100025,35835,212049,41219,1139660,326944,32953023,TRUE,FALSE,English
Kamet0,1452481515,201585,85696,7205,866551,355152,36637687,TRUE,FALSE,French
SmiteGame,1437326430,368415,79597,3901,619334,108636,21949515,TRUE,FALSE,English
AdmiralBahroo,1406118585,144030,37443,9762,827230,58793,15163494,TRUE,FALSE,English
Jelty,1388559885,138150,68500,10051,1807271,1670702,36529164,TRUE,FALSE,Spanish
RatedEpicz,1387907595,190095,59755,7301,410127,284537,21356655,TRUE,TRUE,English
benjyfishy,1362618315,54945,114724,24799,3424787,2437249,57487679,TRUE,FALSE,English
Gorgc,1343017185,127035,29540,10572,460143,88789,22281294,TRUE,TRUE,English
BeyondTheSummit,1328878455,523140,65878,2540,985200,83958,36777391,TRUE,FALSE,English
